A,B,Y
2.30916,2.63779,-0.97262
3.93095,6.0215,-0.50352
4.17397,5.86127,-0.57325
8.53611,3.48181,-0.52136
2.69344,2.45141,-0.90794
5.28466,6.5555,-0.66405
3.93593,9.57662,0.81119
7.90585,4.26274,-0.38738
3.56295,9.85547,0.75264
3.88243,6.45112,-0.78875
2.69771,8.01204,-0.95943
2.96044,0.47396,-0.28864
5.7588,2.01513,0.9968
3.96585,3.9808,0.99571
1.0721,8.75771,-0.39405
7.69743,4.16735,-0.64543
9.4788,3.90822,0.73159
6.34968,2.20172,0.76651
8.30691,2.64077,-0.99885
1.76812,2.58428,-0.9359
9.64196,9.05688,-0.15015
5.80353,3.9181,-0.29252
3.07536,3.71406,0.48489
3.47281,2.38396,-0.41361
3.83724,4.54121,0.86559
9.96048,7.48846,-0.98555
1.47523,7.86362,0.08582
5.38448,2.93333,0.89435
2.42206,0.07211,0.60313
4.75298,5.74762,-0.87998
0.69164,2.80922,-0.35158
6.43196,1.8113,0.92518
5.63116,7.22747,0.28811
2.56948,4.44899,0.67079
8.39927,7.84301,-0.50925
0.83879,6.19424,0.68152
4.16473,5.76237,-0.48147
3.74569,3.75978,0.93988
9.87415,0.41776,-0.76248
5.7669,5.5405,-0.95177
7.12226,2.16916,0.13296
6.67704,5.02334,-0.76173
9.16232,9.38161,-0.30089
2.36117,1.45184,-0.6221
2.78112,2.494,-0.8458
2.13152,8.10766,-0.72732
6.25705,6.35073,0.04139
6.76638,0.46013,0.80952
1.23501,4.1447,-0.78548
5.76974,4.32342,-0.61972
2.18084,6.72055,0.49982
4.26974,5.77699,-0.58262
6.32519,8.75656,0.58608
8.34406,0.54243,0.51266
4.70927,2.82674,0.94987
8.44293,1.26119,-0.27573
4.13239,3.94625,0.97487
9.25285,2.82549,-0.46889
3.10776,0.81038,-0.70082
8.91684,2.3941,-0.95068
1.59219,2.16393,-0.57657
7.70133,8.96865,-0.82035
2.65752,3.87628,0.24799
0.60414,4.09395,-0.9999
2.39446,0.60811,0.13857
5.98054,5.27337,-0.96682
5.09073,2.23,0.86116
3.59492,9.16603,0.19336
1.47394,1.45179,0.21418
4.75107,4.40654,0.264
2.85127,3.8072,0.36654
7.4461,9.78888,-0.99904
5.76989,3.66162,-0.00673
5.56908,7.11781,0.12023
2.96783,1.24354,-0.8771
8.49724,0.65031,0.2737
4.7387,9.1482,0.96885
6.81178,1.71977,0.7791
3.60556,1.91087,-0.6938
6.6368,0.19626,0.52258
1.08475,9.68916,-0.97553
1.89074,7.81921,-0.28132
5.39059,9.8743,0.42871
9.75237,5.0699,0.77436
9.28964,2.44187,-0.7412
7.92054,5.53532,0.77675
9.60871,8.76221,-0.46057
8.20229,5.20612,0.74601
3.35937,3.82866,0.78633
9.67462,5.89837,0.13457
9.38058,9.78189,0.30782
6.48066,1.87397,0.87727
6.04226,6.31076,-0.21174
4.29913,8.53028,0.26002
0.05663,5.59575,-0.58979
4.10766,7.2439,-0.9373
8.18335,6.36168,0.91797
0.25962,8.82608,0.33261
9.57546,8.41204,-0.75918
2.69605,3.94976,0.35473
1.69434,9.20835,-0.99569
1.60338,9.33181,-0.99818
4.35342,9.96569,0.9835
4.19411,3.13424,0.86501
3.75629,8.96937,0.15861
5.44087,0.92491,0.0825
1.28288,6.75069,0.98392
0.87336,5.99228,0.55007
1.15213,7.5211,0.68277
1.28675,4.13097,-0.76139
0.79108,5.03184,-0.44418
7.61365,4.96617,0.01345
5.51763,1.01146,0.24343
2.22828,0.54476,0.36027
4.42531,6.71192,-0.98998
3.35291,3.07814,0.14732
5.54347,0.51762,-0.22028
4.58498,5.29333,-0.43814
6.61752,7.47516,0.99901
1.81131,8.73745,-0.90183
7.87562,2.74631,-0.931
6.17127,4.26046,-0.84521
5.35803,6.13124,-0.88059
1.97674,6.5792,0.76358
5.98101,7.07415,0.46956
5.2424,9.35437,0.89623
9.89669,9.57687,0.58429
7.59808,9.24536,-0.90673
9.52255,3.4039,0.35235
8.63571,5.2882,0.97735
5.28594,6.27531,-0.84423
9.52859,3.29621,0.25556
2.92222,3.22177,-0.13874
2.15887,4.1835,0.05916
7.51606,9.63316,-0.99162
3.77372,6.2368,-0.55282
4.06707,0.42086,-0.97491
5.28557,2.25266,0.95056
7.70679,1.11893,0.56387
0.41984,0.11219,0.50728
4.51317,1.2143,-0.52755
2.98722,3.45304,0.15643
0.9168,4.33708,-0.85694
5.1385,6.45007,-0.82927
4.00374,2.32727,0.0478
6.10919,4.7208,-0.98632
3.27333,2.78183,-0.22606
3.15744,9.96077,0.52425
0.14487,7.76096,0.99866
5.37363,1.70295,0.71274
6.92754,4.91416,-0.66289
6.4285,5.91936,-0.21678
9.71626,5.38266,0.57208
1.14728,4.64855,-0.46829
3.27849,3.1192,0.11426
6.85027,4.91142,-0.72061
4.78822,3.68126,0.81649
3.94356,7.35972,-0.95303
1.40953,7.61643,0.38833
5.72699,8.23095,0.98398
7.84121,1.97115,-0.37795
8.77372,8.69817,-0.98141
1.86193,7.79861,-0.23358
7.36224,9.26973,-0.79802
3.29711,3.08121,0.09499
7.06775,1.75926,0.5628
1.83091,6.12178,0.99513
8.35832,9.90439,-0.55373
8.22535,3.59834,-0.67626
5.67715,3.9396,-0.1908
5.01259,7.19567,-0.35051
2.41869,7.93589,-0.8015
6.90781,4.49003,-0.92018
2.89124,5.69347,0.74469
5.6986,9.02057,0.83536
5.0323,0.16819,-0.88323
3.51261,6.71887,-0.72201
7.99733,9.75196,-0.89132
3.92571,3.1236,0.69335
9.15415,5.28269,0.95543
7.07165,6.89798,0.986
9.05001,2.15869,-0.97738
1.45555,0.8146,0.76526
8.16669,3.34199,-0.87123
3.80069,9.49579,0.66695
0.22263,2.54976,0.36087
3.88289,1.5532,-0.74936
7.60902,1.59446,0.2195
3.67256,3.38943,0.70243
2.14276,6.84616,0.42219
9.01217,1.80186,-0.98357
6.52794,2.59489,0.29738
6.46846,2.07413,0.77214
2.60503,2.05921,-0.99884
3.87529,9.35134,0.61332
3.74824,7.08265,-0.98647
6.94979,2.55992,-0.08483
9.20478,5.35936,0.91022
6.67999,3.66604,-0.79636
7.71115,5.73597,0.77121
1.30551,6.5763,0.99961
6.30777,1.58873,0.9991
7.08248,6.6903,0.93434
9.50187,4.69231,0.99838
3.08289,8.02168,-0.99407
6.2646,4.64106,-0.99596
8.90378,4.68642,0.85411
7.14493,9.76503,-0.93276
7.82523,7.62893,0.25108
1.01339,4.13875,-0.90486
2.70827,1.71906,-0.95964
1.55329,0.83676,0.68277
9.92555,7.72883,-0.93028
7.8178,7.60461,0.28169
7.71821,1.6542,0.05234
8.7437,7.86203,-0.78193
7.76322,6.87218,0.87843
8.78577,4.22671,0.43146
2.51182,3.56884,-0.20115
5.20884,0.16119,-0.79144
3.0961,0.72702,-0.62998
0.93591,6.95838,0.99919
5.96814,3.63754,-0.17992
1.18098,6.02791,0.79904
1.77629,3.98588,-0.49776
2.5225,7.61484,-0.65378
2.95643,8.51037,-0.89101
4.52871,5.33439,-0.42442
7.52344,9.03476,-0.75144
7.83805,8.73777,-0.76295
0.6487,7.30482,0.99505
6.60925,3.06054,-0.24256
3.39563,5.33848,0.63706
2.95366,6.92025,-0.43419
6.82785,2.93545,-0.33209
4.21915,9.43491,0.88556
7.40972,5.99731,0.74508
7.70177,8.44483,-0.42471
8.01642,6.01373,0.99428
0.30069,6.18576,0.20187
2.64015,0.755,-0.25084
0.94808,1.53579,0.61132
1.41987,7.38352,0.58217
6.4693,6.64497,0.5209
7.3456,7.40273,0.81898
5.38352,4.86362,-0.73275
4.25674,1.17464,-0.75247
8.83019,1.78781,-0.92956
5.06522,6.91536,-0.55286
4.4404,5.02627,-0.04188
6.06573,0.93115,0.65463
1.85593,0.11022,0.92286
6.24422,5.22093,-0.89176
0.73054,4.03341,-0.99867
0.04066,6.47771,0.23302
1.61402,7.42205,0.37899
